user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:40,0
0,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:42,0
!root,0,1,1,0,0,185.246.130.20,2021-11-18 23:01:44,0
blank,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:45,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:46,0
ubnt,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:48,0
uucp,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:50,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:55,0
-1,0,1,1,0,0,185.246.130.20,2021-11-18 23:01:56,0
user,0,1,0,0,0,185.246.130.20,2021-11-18 23:01:58,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:02:00,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:02,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:05,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:02:06,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:09,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:12,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:14,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:16,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:19,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:02:21,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:23,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:32,0
root,0,1,1,0,0,185.246.130.20,2021-11-18 23:02:35,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:37,0
default,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:38,0
nobody,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:40,0
support,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:42,0
-1,0,1,1,0,0,185.246.130.20,2021-11-18 23:02:44,0
guest,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:46,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:48,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:50,0
default,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:52,0
onlime_r,0,1,0,0,0,185.246.130.20,2021-11-18 23:02:56,0
123321,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:00,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:02,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:04,0
test,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:05,0
ftpuser,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:07,0
-1,0,1,1,0,0,185.246.130.20,2021-11-18 23:03:09,0
-1,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:12,0
ftp,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:15,0
debug,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:19,0
debug,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:31,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:34,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:35,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:37,0
admin,0,1,0,0,0,185.246.130.20,2021-11-18 23:03:39,0
